c1_plots_number,c2_plots_number,l1_plots_number,l2_plots_number,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2
3,9,17,17,2,8.84495133139528,27.3938186944283,7.34977759998427
2,5,17,17,2,6.92286947740819,26.3383584443192,4.74138895586189
5,4,18,18,2,8.17170888043511,27.9691342585876,3.52190944713889
3,5,17,17,2,6.81108732388774,26.4348282848905,4.62642909313933
2,3,17,17,2,6.63362608538246,26.0748642841273,4.26298920044102
3,4,15,15,0,3.82054241390423,23.5053975394444,7.04518384320916
5,7,13,13,0,4.42425238036593,21.8176643698396,10.7854959587829
7,6,16,16,0,6.98525070666993,26.0360125055596,7.47945905078085
5,3,18,18,2,8.11272227099513,27.8633663099419,3.35410196624968
4,2,19,19,2,9.42378968048815,29.0269950927516,1.86568197471305
3,6,18,18,2,8.47162176459483,27.9982322202717,4.10674866717998
-1,0,-2,-2,1,21.0192248178204,1.48113145523562,31.4021679800321
4,8,15,15,0,6.23727397105196,24.5604537948526,8.67024088033758
3,8,15,15,0,6.1999030522717,24.4156685286085,8.61684396980704
3,7,17,17,2,7.63623187797409,26.8441934979882,5.80616383350817
2,6,19,19,2,9.88536736790359,29.291731913729,3.49999999999998
3,5,16,16,0,5.47485242953393,25.0520373322397,5.9242006925959
