c1_plots_number,c2_plots_number,l1_plots_number,l2_plots_number,x_block_coordinate,y_block_coordinate,objectid,codmanzana,codsector,codsubsector,x_centroid_coordinate,y_centroid_coordinate,x_true_centroid_coordinate,y_true_centroid_coordinate,block_area,block_length,c1_length,c2_length,l1_length,l2_length,block_apexes_number,rectangular_form,square_form,is_multipart
2,2,11,11,775908.5,8.989427e+06,6257,102552,10,102,775908.5,8.989427e+06,775908.5,8.989427e+06,2375.9001,203.99582,35.99918,65.998726,35.99918,65.998726,4,f,t,f
2,2,14,14,775757.25,8.989321e+06,6258,102526,10,102,775757.25,8.989321e+06,775757.25,8.989321e+06,2979.347,238.83183,35.896355,83.64104,35.4252,83.86924,4,t,f,f
2,2,15,15,775797.25,8.989627e+06,6259,102608,10,102,775797.25,8.989627e+06,775797.25,8.989627e+06,3228.1282,251.81734,36.40357,89.828835,35.403336,90.181595,4,t,f,f
6,6,7,7,775658.1,8.989524e+06,6260,102584,10,102,775658.1,8.989524e+06,775658.1,8.989524e+06,2797.8901,227.53146,36.128227,77.87794,35.90917,77.61613,4,t,f,f
2,2,15,15,775725.7,8.989558e+06,6261,102585,10,102,775725.7,8.989558e+06,775725.7,8.989558e+06,3374.845,254.8823,36.551273,89.78067,38.787617,89.762726,4,t,f,f
2,2,12,12,775620.75,8.989494e+06,6262,102568,10,102,775620.75,8.989494e+06,775620.75,8.989494e+06,3060.6255,242.18677,36.070187,84.55518,36.027065,85.53433,4,t,f,f
2,2,10,10,775795.1,8.989766e+06,6263,102646,10,102,775795.1,8.989766e+06,775795.1,8.989766e+06,2519.9307,211.997,35.999508,69.998985,35.999588,69.998924,4,f,t,f
2,2,12,12,775845.5,8.9897e+06,6264,102625,10,102,775845.5,8.9897e+06,775845.5,8.9897e+06,2591.9272,215.99693,35.999447,71.99894,35.999588,71.998955,4,f,t,f
2,2,10,10,776023.2,8.989955e+06,6265,102687,10,102,776023.2,8.989955e+06,776023.2,8.989955e+06,2519.9358,211.99728,35.99952,69.999054,35.99958,69.99913,4,f,t,f
-1,0,-2,-2,776067.6,8.989896e+06,6266,102673,10,102,776067.6,8.989896e+06,776067.6,8.989896e+06,2298.506,199.73575,,,,,5,,,f
2,2,10,10,775987.56,8.989924e+06,6267,102674,10,102,775987.56,8.989924e+06,775987.56,8.989924e+06,2519.9321,211.99709,35.999435,69.99902,35.999653,69.99897,4,f,t,f
-1,0,-2,-2,776033.6,8.989864e+06,6268,102666,10,102,776033.6,8.989864e+06,776033.6,8.989864e+06,2384.8086,204.4141,,,,,5,,,f
2,2,10,10,775831.56,8.989797e+06,6269,102645,10,102,775831.56,8.989797e+06,775831.56,8.989797e+06,2519.9363,211.99721,35.999577,69.998955,35.999638,69.99904,4,f,t,f
-1,0,-2,-2,775884.44,8.98973e+06,6270,102626,10,102,775884.44,8.98973e+06,775884.44,8.98973e+06,2710.9592,222.9061,,,,,5,,,f
6,2,17,17,775900.4,8.989873e+06,6271,102663,10,102,775900.4,8.989873e+06,775900.4,8.989873e+06,5039.8545,351.99567,35.999344,139.99791,35.999355,139.99905,4,f,t,f
2,2,20,20,775068.06,8.989574e+06,6272,102578,10,102,775068.06,8.989574e+06,775068.06,8.989574e+06,6003.0435,367.04733,42.144077,139.94206,43.101883,141.8593,4,t,f,f
2,2,20,20,775027.2,8.989536e+06,6273,102577,10,102,775027.2,8.989536e+06,775027.2,8.989536e+06,5933.9546,365.09402,42.272,139.83344,42.36651,140.62209,4,t,f,f
2,2,26,26,775226.7,8.989403e+06,6274,102544,10,102,775226.7,8.989403e+06,775226.7,8.989403e+06,7714.931,448.55194,42.496582,181.89723,42.354862,181.80327,4,f,t,f
2,2,26,26,775185.75,8.989365e+06,6275,102543,10,102,775185.75,8.989365e+06,775185.75,8.989365e+06,7659.2656,448.21228,42.11045,182.01666,42.043934,182.04124,4,f,t,f
2,2,15,15,775385.94,8.989915e+06,6280,102679,10,102,775385.94,8.989915e+06,775385.94,8.989915e+06,3268.11,252.59451,36.36736,89.817474,36.2896,90.12009,4,t,f,f
2,2,15,15,775462.3,8.989977e+06,6281,102681,10,102,775462.3,8.989977e+06,775462.3,8.989977e+06,3219.6277,251.61224,36.179016,90.09909,35.3293,90.00483,4,t,f,f
